# ==============================================================================
# Signal samples
# ==============================================================================

# H125
# ------------------------------------------------------------------------------

PowhegPy8_NNLOPS_ggH125     mc16_13TeV.343981.PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_gamgam
aMCnloPy8_tWH125_yt_minus1_CPalpha_0     346760
aMCnloPy8_tWH125_yt_plus0p5_CPalpha_0    346761
aMCnloPy8_tWH125_yt_plus2_CPalpha_0      346762
aMCnloPy8_tWH125_yt_plus2_CPalpha_45     346763

aMCnloPy8_tHjb125_yt_minus1_CPalpha_0     346764
aMCnloPy8_tHjb125_yt_plus0p5_CPalpha_0    346765
aMCnloPy8_tHjb125_yt_plus2_CPalpha_0      346766
aMCnloPy8_tHjb125_yt_plus2_CPalpha_45     346767

aMCnloPy8_ttH125_CPalpha_0               346798

# ttH inclusive decay
# ------------------------------------------------------------------------------
PowhegPy8_ttH125_inc_allhad  345672
PowhegPy8_ttH125_inc_semilep 345673
PowhegPy8_ttH125_inc_dilep   345674

# Different masses
# ------------------------------------------------------------------------------

PowhegPy8_NNLOPS_ggH110		345307
PowhegPy8_NNLOPS_ggH122		345308
PowhegPy8_NNLOPS_ggH123		345309
PowhegPy8_NNLOPS_ggH124		345310
PowhegPy8_NNLOPS_ggH124p5	345416
PowhegPy8_NNLOPS_ggH125p5	345417
PowhegPy8_NNLOPS_ggH126		345311
PowhegPy8_NNLOPS_ggH127		345312
PowhegPy8_NNLOPS_ggH130		345313
PowhegPy8_NNLOPS_ggH140         345314

PowhegPy8EG_NNPDF30_VBFH110		346780
PowhegPy8EG_NNPDF30_VBFH122		346781
PowhegPy8EG_NNPDF30_VBFH123		346782
PowhegPy8EG_NNPDF30_VBFH124		346783
PowhegPy8EG_NNPDF30_VBFH126		346784
PowhegPy8EG_NNPDF30_VBFH127		346785
PowhegPy8EG_NNPDF30_VBFH130		346786
PowhegPy8EG_NNPDF30_VBFH140		346787

PowhegPy8_ZH110J		345200
PowhegPy8_ZH122J		345201
PowhegPy8_ZH123J		345202
PowhegPy8_ZH124J		345204
PowhegPy8_ZH124p5		345205
PowhegPy8_ZH125p5		345206
PowhegPy8_ZH126J		345207
PowhegPy8_ZH127J		345208
PowhegPy8_ZH130J		345209
PowhegPy8_ZH140J		345210

PowhegPy8_WmH110J		345548
PowhegPy8_WmH122J		345549
PowhegPy8_WmH123J		345550
PowhegPy8_WmH124J		345551
PowhegPy8_WmH126J		345552
PowhegPy8_WmH127J		345553
PowhegPy8_WmH130J		345554
PowhegPy8_WmH140J		345555

PowhegPy8_WpH110J		345556
PowhegPy8_WpH122J		345557
PowhegPy8_WpH123J		345558
PowhegPy8_WpH124J		345559
PowhegPy8_WpH126J		345560
PowhegPy8_WpH127J		345561
PowhegPy8_WpH130J		345562
PowhegPy8_WpH140J		345563

PowhegPy8_ggZH110		 345266
PowhegPy8_ggZH122		 345267
PowhegPy8_ggZH123		 345268
PowhegPy8_ggZH124		 345269
PowhegPy8_ggZH126		 345270
PowhegPy8_ggZH127		 345271
PowhegPy8_ggZH130		 345272
PowhegPy8_ggZH140		 345273

PowhegPy8_ttH110      346668
PowhegPy8_ttH122      346669
PowhegPy8_ttH123      346670
PowhegPy8_ttH124      346671
PowhegPy8_ttH126      346672
